årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;26579
1956;24852
1957;31954
1958;35052
1959;39387
1960;32184
1961;29299
1962;23995
1963;21867
1964;21373
1965;20719
1966;22351
1967;25633
1968;23383
1969;23578
1970;20064
1971;22500
1972;19162
1973;21631
1974;21832
1975;25274
1976;23790
1977;26616
1978;18728
1979;12456
1980;8007
1981;6969
1982;5074
1983;5994
1984;6569
1985;8427
1986;10161
1987;6075
1988;7837
1989;10789
1990;11310
1991;11701
1992;16742
1993;18851
1994;15072
1995;11624
1996;7246
1997;5238
1998;4803
1999;4659
2000;3666
2001;3573
2002;4317
2003;3205
2004;2814
2005;2728
