årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;205429
1956;176633
1957;205448
1958;207616
1959;246628
1960;222820
1961;240766
1962;253230
1963;261717
1964;274906
1965;285248
1966;279093
1967;305056
1968;287181
1969;299625
1970;308102
1971;308852
1972;286184
1973;320980
1974;298203
1975;297546
1976;278727
1977;272121
1978;260028
1979;239235
1980;235521
1981;229745
1982;250837
1983;226014
1984;203618
1985;211225
1986;197075
1987;191700
1988;245050
1989;224744
1990;240548
1991;231087
1992;246740
1993;245121
1994;217747
1995;217954
1996;177324
1997;152400
1998;163809
1999;166533
2000;165324
2001;165174
2002;158825
2003;163806
2004;168986
2005;158535
