årstal;antal
1959;6301
1960;16436
1961;19957
1962;26952
1963;36226
1964;36394
1965;33967
1966;33264
1967;30757
1968;22415
1969;22828
1970;34260
1971;27615
1972;25100
1973;26421
1974;29302
1975;25566
1976;23276
1977;21076
1978;22960
1979;25675
1980;35834
1981;32082
1982;32417
1983;27641
1984;22020
1985;24837
1986;19015
1987;22250
1988;34952
1989;22529
1990;28960
1991;24263
1992;26057
1993;23340
1994;25838
1995;27644
1996;17147
1997;15388
1998;15935
1999;15891
2000;20092
2001;20324
2002;16919
2003;19341
2004;22752
2005;20695
