årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7427
1956;6844
1957;7456
1958;7637
1959;8959
1960;8951
1961;10695
1962;13312
1963;12604
1964;13907
1965;13620
1966;1440
1967;12798
1968;15037
1969;16105
1970;16277
1971;16789
1972;15682
1973;18777
1974;16175
1975;16614
1976;12746
1977;13289
1978;10992
1979;11914
1980;13497
1981;12557
1982;11601
1983;11558
1984;9286
1985;8252
1986;6540
1987;7433
1988;11605
1989;9571
1990;9466
1991;7230
1992;6644
1993;5563
1994;5844
1995;5756
1996;5548
1997;5837
1998;5922
1999;5860
2000;8092
2001;6543
2002;5757
2003;4891
2004;4695
2005;3706
