årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7
1956;24
1957;23
1958;14
1959;32
1960;9
1961;20
1962;22
1963;87
1964;22
1965;27
1966;34
1967;17
1968;49
1969;32
1970;23
1971;21
1972;15
1973;11
1974;16
1975;18
1976;28
1977;10
1978;26
1979;16
1980;30
1981;22
1982;47
1983;16
1984;54
1985;47
1986;36
1987;41
1988;116
1989;113
1990;121
1991;118
1992;252
1993;198
1994;145
1995;239
1996;152
1997;432
1998;122
1999;90
2000;79
2001;96
2002;99
2003;103
2004;95
2005;79
