årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;637
1959;876
1960;256
1961;429
1962;786
1963;899
1964;838
1965;1057
1966;1341
1967;1573
1968;1532
1969;1206
1970;1268
1971;1311
1972;1242
1973;1166
1974;1156
1975;1477
1976;925
1977;1276
1978;1470
1979;761
1980;962
1981;725
1982;946
1983;556
1984;738
1985;643
1986;456
1987;671
1988;1159
1989;947
1990;1224
1991;1204
1992;1370
1993;735
1994;762
1995;1570
1996;807
1997;1218
1998;961
1999;1042
2000;703
2001;586
2002;505
2003;592
2004;672
2005;650
