årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7504
1956;7923
1957;9900
1958;15312
1959;13202
1960;13434
1961;13727
1962;9532
1963;12310
1964;15773
1965;16280
1966;19817
1967;23845
1968;23133
1969;25050
1970;25798
1971;31475
1972;27205
1973;30879
1974;33176
1975;30618
1976;26930
1977;26125
1978;23778
1979;19930
1980;18695
1981;17775
1982;19736
1983;18342
1984;18529
1985;20240
1986;21206
1987;14219
1988;18338
1989;22597
1990;25933
1991;27589
1992;34869
1993;37349
1994;27880
1995;22175
1996;17824
1997;12381
1998;11936
1999;11520
2000;8937
2001;10134
2002;10035
2003;10956
2004;10997
2005;11183
