årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;493
1956;367
1957;454
1958;475
1959;531
1960;630
1961;450
1962;525
1963;932
1964;575
1965;722
1966;693
1967;651
1968;709
1969;629
1970;505
1971;560
1972;575
1973;754
1974;531
1975;785
1976;804
1977;677
1978;1114
1979;744
1980;206
1981;218
1982;246
1983;289
1984;237
1985;234
1986;336
1987;289
1988;325
1989;441
1990;362
1991;378
1992;407
1993;464
1994;433
1995;359
1996;379
1997;301
1998;406
1999;587
2000;486
2001;684
2002;562
2003;594
2004;359
2005;164
