årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;46938
1956;26766
1957;31796
1958;31382
1959;39473
1960;22349
1961;29202
1962;34534
1963;33587
1964;34310
1965;32980
1966;30577
1967;32714
1968;33794
1969;25210
1970;29557
1971;29949
1972;28121
1973;29552
1974;24186
1975;26316
1976;26096
1977;26056
1978;30855
1979;30202
1980;33814
1981;36770
1982;34087
1983;37694
1984;32742
1985;34849
1986;35271
1987;35734
1988;46413
1989;42981
1990;42193
1991;42981
1992;43785
1993;45153
1994;41631
1995;43147
1996;34238
1997;32763
1998;36327
1999;38191
2000;32954
2001;33313
2002;33207
2003;34128
2004;29849
2005;27332
