årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;404
1956;353
1957;514
1958;631
1959;881
1960;797
1961;1251
1962;1046
1963;1862
1964;1345
1965;1518
1966;1651
1967;2330
1968;1266
1969;2271
1970;1846
1971;1596
1972;1330
1973;1753
1974;1884
1975;1818
1976;1650
1977;1565
1978;1848
1979;1068
1980;2406
1981;1827
1982;2330
1983;1924
1984;1644
1985;2153
1986;2239
1987;3357
1988;3953
1989;2040
1990;2927
1991;3308
1992;3455
1993;3412
1994;2736
1995;3024
1996;3714
1997;2453
1998;3176
1999;2704
2000;3490
2001;3082
2002;3279
2003;3287
2004;3488
2005;2580
