årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;29853
1956;29606
1957;33447
1958;31514
1959;33995
1960;30242
1961;30498
1962;27770
1963;25736
1964;24825
1965;24563
1966;23482
1967;24348
1968;22228
1969;21120
1970;18711
1971;18327
1972;15129
1973;15700
1974;17164
1975;17167
1976;16895
1977;16017
1978;14467
1979;11921
1980;12185
1981;12703
1982;11786
1983;11664
1984;12548
1985;12404
1986;11443
1987;9110
1988;9290
1989;9798
1990;9954
1991;11781
1992;15074
1993;16940
1994;14335
1995;12745
1996;10706
1997;7534
1998;7158
1999;6213
2000;4777
2001;4219
2002;4035
2003;4014
2004;3620
2005;3139
