årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;66
1956;83
1957;130
1958;39
1959;44
1960;58
1961;58
1962;59
1963;55
1964;67
1965;76
1966;73
1967;73
1968;81
1969;60
1970;88
1971;101
1972;92
1973;140
1974;157
1975;240
1976;228
1977;286
1978;310
1979;314
1980;401
1981;363
1982;356
1983;344
1984;334
1985;458
1986;372
1987;361
1988;234
1989;328
1990;275
1991;243
1992;175
1993;236
1994;324
1995;333
1996;493
1997;469
1998;411
1999;399
2000;231
2001;317
2002;307
2003;316
2004;274
2005;251
