årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;17735
1956;17642
1957;18348
1958;17423
1959;19377
1960;18471
1961;18391
1962;18836
1963;20577
1964;21219
1965;22487
1966;23098
1967;23205
1968;22752
1969;22434
1970;23264
1971;24305
1972;21509
1973;20066
1974;17993
1975;17095
1976;15841
1977;13656
1978;12190
1979;11079
1980;9425
1981;8833
1982;7009
1983;4929
1984;4432
1985;4577
1986;4110
1987;4036
1988;4002
1989;4321
1990;4254
1991;4050
1992;3390
1993;2962
1994;2013
1995;2609
1996;2528
1997;2213
1998;2286
1999;2155
2000;1700
2001;1952
2002;1703
2003;1885
2004;1841
2005;1781
