årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;19018
1956;15804
1957;17232
1958;15990
1959;19009
1960;15661
1961;18392
1962;20381
1963;19952
1964;22179
1965;24973
1966;26464
1967;27191
1968;28975
1969;37729
1970;35397
1971;36050
1972;33243
1973;39496
1974;36633
1975;37268
1976;32396
1977;28058
1978;29908
1979;26320
1980;21828
1981;24883
1982;17869
1983;12968
1984;11591
1985;10727
1986;11245
1987;8920
1988;9132
1989;9200
1990;9568
1991;8648
1992;6944
1993;6055
1994;4862
1995;6382
1996;6346
1997;6150
1998;6020
1999;7715
2000;5150
2001;5525
2002;6397
2003;7418
2004;6500
2005;6756
