årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;130
1956;84
1957;65
1958;46
1959;57
1960;44
1961;53
1962;68
1963;78
1964;70
1965;102
1966;101
1967;120
1968;101
1969;110
1970;86
1971;88
1972;114
1973;151
1974;158
1975;211
1976;245
1977;244
1978;279
1979;299
1980;296
1981;447
1982;274
1983;395
1984;450
1985;486
1986;426
1987;373
1988;503
1989;446
1990;514
1991;513
1992;551
1993;767
1994;710
1995;771
1996;974
1997;728
1998;869
1999;946
2000;974
2001;1085
2002;1166
2003;1263
2004;1586
2005;1503
