årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5628
1956;6198
1957;5822
1958;5923
1959;6419
1960;8032
1961;7429
1962;8204
1963;10496
1964;11468
1965;12782
1966;13624
1967;16721
1968;18442
1969;22011
1970;21009
1971;20466
1972;19957
1973;25651
1974;20254
1975;20929
1976;23136
1977;22879
1978;21673
1979;19830
1980;18528
1981;17554
1982;15538
1983;15163
1984;13671
1985;12785
1986;11917
1987;11310
1988;11063
1989;10604
1990;8869
1991;7009
1992;8031
1993;6420
1994;3832
1995;4739
1996;4609
1997;4211
1998;3855
1999;3863
2000;3335
2001;2917
2002;2975
2003;3297
2004;2863
2005;2888
