årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;6098
1956;6531
1957;8371
1958;9394
1959;12159
1960;10549
1961;11132
1962;11476
1963;8268
1964;8916
1965;11611
1966;14324
1967;12348
1968;9396
1969;8303
1970;8695
1971;8045
1972;6761
1973;8405
1974;6598
1975;5291
1976;4629
1977;3798
1978;4251
1979;6211
1980;6232
1981;4512
1982;2846
1983;1645
1984;1851
1985;2342
1986;1797
1987;1747
1988;2796
1989;1769
1990;1926
1991;2224
1992;1709
1993;1509
