årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;20645
1956;17571
1957;20913
1958;16356
1959;21405
1960;21368
1961;22789
1962;25242
1963;26234
1964;29532
1965;33433
1966;32485
1967;36273
1968;28344
1969;29814
1970;25398
1971;24837
1972;23332
1973;24729
1974;20776
1975;22244
1976;20893
1977;21794
1978;16650
1979;14310
1980;10179
1981;10211
1982;10880
1983;12572
1984;10738
1985;10871
1986;12528
1987;12592
1988;13245
1989;18698
1990;18857
1991;19611
1992;18795
1993;16163
1994;10556
1995;10201
1996;9759
1997;8284
1998;7197
1999;8381
2000;7638
2001;8982
2002;9515
2003;11766
2004;11248
2005;12601
