årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1259
1956;1163
1957;1274
1958;1253
1959;1386
1960;1184
1961;1246
1962;1457
1963;1426
1964;1572
1965;1651
1966;1755
1967;1818
1968;2050
1969;2266
1970;2196
1971;2307
1972;2242
1973;2136
1974;2227
1975;2256
1976;2533
1977;2388
1978;2640
1979;2389
1980;2363
1981;2502
1982;2666
1983;2981
1984;2852
1985;3266
1986;3307
1987;3160
1988;3412
1989;4129
1990;4690
1991;5388
1992;6305
1993;7562
1994;7449
1995;7921
1996;8194
1997;6797
1998;7977
1999;8125
2000;8100
2001;8164
2002;8271
2003;9159
2004;9575
2005;9448
