årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;785
1956;708
1957;941
1958;803
1959;745
1960;903
1961;903
1962;789
1963;765
1964;1173
1965;1689
1966;2014
1967;2280
1968;3638
1969;3382
1970;2498
1971;3264
1972;3716
1973;4166
1974;4585
1975;3405
1976;4960
1977;4000
1978;3954
1979;3289
1980;3545
1981;4293
1982;3486
1983;2557
1984;3056
1985;2695
1986;2592
1987;4118
1988;2768
1989;3571
1990;4263
1991;4197
1992;2649
1993;3742
1994;4800
1995;6059
1996;7438
1997;5545
1998;6892
1999;7517
2000;6915
2001;7849
2002;8935
2003;6122
2004;7021
2005;6551
