årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4459
1956;4390
1957;4713
1958;4617
1959;5220
1960;4612
1961;4940
1962;6104
1963;5731
1964;6253
1965;6278
1966;6236
1967;5404
1968;6508
1969;6421
1970;6898
1971;6849
1972;6393
1973;5897
1974;5602
1975;6303
1976;5891
1977;5660
1978;5770
1979;6755
1980;5732
1981;5440
1982;5419
1983;5412
1984;5478
1985;6393
1986;6456
1987;6294
1988;6729
1989;6897
1990;5335
1991;3437
1992;2649
1993;2716
1994;3361
1995;4150
1996;4711
1997;4384
1998;5570
1999;5694
2000;4803
2001;5041
2002;5068
2003;5646
2004;5294
2005;4826
