årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1020
1956;899
1957;976
1958;1244
1959;1477
1960;1866
1961;3026
1962;2735
1963;2776
1964;1954
1965;1351
1966;1273
1967;1789
1968;1753
1969;2589
1970;2258
1971;1561
1972;1518
1973;2717
1974;1821
1975;2494
1976;2216
1977;4371
1978;5411
1979;3096
1980;2736
1981;2486
1982;2322
1983;2493
1984;3135
1985;2846
1986;3438
1987;3165
1988;3041
1989;4514
1990;3998
1991;3986
1992;4815
1993;4382
1994;4271
1995;3921
1996;4366
1997;2473
1998;3460
1999;3525
2000;7948
2001;6580
2002;5490
2003;4011
2004;5848
2005;7084
