årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;1122
1959;5378
1960;1822
1961;2053
1962;3945
1963;3032
1964;3032
1965;557
1966;6419
1967;2294
1968;1872
1969;3594
1970;2750
1971;2141
1972;1658
1973;2721
1974;1535
1975;2388
1976;1750
1977;1170
1978;495
1979;805
1980;1643
1981;642
1982;437
1983;357
1984;259
1985;346
1986;312
1987;247
1988;449
1989;691
1990;509
1991;414
1992;535
1993;382
1994;488
1995;319
1996;447
1997;152
1998;137
1999;326
2000;113
2001;105
2002;61
2003;77
2004;94
2005;91
