årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;42
1956;43
1957;32
1958;44
1959;113
1960;38
1961;55
1962;86
1963;64
1964;67
1965;37
1966;76
1967;68
1968;77
1969;80
1970;50
1971;39
1972;23
1973;102
1974;50
1975;87
1976;61
1977;55
1978;28
1979;29
1980;45
1981;40
1982;9
1983;33
1984;15
1985;25
1986;8
1987;12
1988;32
1989;19
1990;27
1991;27
1992;23
1993;23
1994;23
1995;23
1996;53
1997;19
1998;28
1999;24
2000;14
2001;78
2002;38
2003;8
2004;8
2005;23
