årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;748
1959;1156
1960;938
1961;773
1962;951
1963;1101
1964;1052
1965;770
1966;655
1967;1193
1968;1586
1969;1367
1970;1334
1971;1633
1972;1468
1973;2481
1974;1550
1975;1689
1976;1031
1977;2103
1978;1811
1979;871
1980;1939
1981;1396
1982;1877
1983;1195
1984;1468
1985;1599
1986;1717
1987;664
1988;2361
1989;911
1990;547
1991;570
1992;731
1993;442
1994;403
1995;567
1996;529
1997;363
1998;210
1999;662
2000;194
2001;272
2002;280
2003;211
2004;215
2005;240
