årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7669
1956;6515
1957;7354
1958;8056
1959;10773
1960;9899
1961;12852
1962;10568
1963;15382
1964;14538
1965;11217
1966;9931
1967;10560
1968;15757
1969;14511
1970;11176
1971;12606
1972;12328
1973;14321
1974;10820
1975;11495
1976;9958
1977;12196
1978;12638
1979;13985
1980;13386
1981;15428
1982;15078
1983;16256
1984;13400
1985;17339
1986;20926
1987;15491
1988;28320
1989;39087
1990;43347
1991;31695
1992;30775
1993;32870
1994;25633
1995;23199
1996;16313
1997;14028
1998;14664
1999;15307
2000;11828
2001;12219
2002;10901
2003;8955
2004;7399
2005;6038
