årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3835
1956;2576
1957;2188
1958;3010
1959;3722
1960;3146
1961;4667
1962;4659
1963;4118
1964;3059
1965;2165
1966;2833
1967;2583
1968;3792
1969;4539
1970;2902
1971;3481
1972;3011
1973;4445
1974;2633
1975;4356
1976;2890
1977;3875
1978;4409
1979;4456
1980;5037
1981;4745
1982;4965
1983;6359
1984;4292
1985;6154
1986;6936
1987;6292
1988;10261
1989;8913
1990;8169
1991;7508
1992;8904
1993;9473
1994;10845
1995;11948
1996;9276
1997;8167
1998;8598
1999;11836
2000;6279
2001;8509
2002;8847
2003;7120
2004;7142
2005;7439
