årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3069
1956;2893
1957;3141
1958;3294
1959;3731
1960;3519
1961;3827
1962;3518
1963;4349
1964;5134
1965;5375
1966;6159
1967;3594
1968;5002
1969;5633
1970;5223
1971;5574
1972;5715
1973;5729
1974;4834
1975;3996
1976;2928
1977;3268
1978;3790
1979;3665
1980;3963
1981;4062
1982;4040
1983;3047
1984;2761
1985;2605
1986;2642
1987;2545
1988;2592
1989;2468
1990;2322
1991;2121
1992;1594
1993;1200
1994;893
1995;1038
1996;1041
1997;942
1998;772
1999;884
2000;615
2001;710
2002;428
2003;501
2004;554
2005;565
