årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;116
1956;411
1957;294
1958;418
1959;663
1960;732
1961;534
1962;704
1963;861
1964;930
1965;1024
1966;2229
1967;969
1968;2933
1969;4087
1970;3566
1971;2494
1972;2947
1973;3983
1974;3034
1975;3524
1976;3017
1977;3661
1978;3865
1979;3833
1980;3408
1981;3405
1982;3538
1983;3339
1984;3397
1985;4283
1986;2821
1987;2818
1988;3137
1989;2663
1990;2144
1991;2280
1992;1732
1993;1292
1994;837
1995;869
1996;1003
1997;799
1998;846
1999;707
2000;839
2001;919
2002;1244
2003;1021
2004;685
2005;604
