årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4754
1956;4793
1957;5419
1958;5193
1959;6640
1960;6684
1961;7044
1962;9569
1963;9942
1964;10331
1965;10739
1966;12270
1967;8589
1968;10573
1969;10042
1970;9011
1971;10337
1972;9421
1973;11208
1974;10674
1975;11912
1976;9861
1977;8621
1978;9229
1979;8902
1980;8939
1981;10379
1982;10727
1983;11193
1984;8733
1985;8696
1986;11549
1987;9856
1988;11671
1989;13321
1990;14667
1991;14368
1992;12738
1993;13439
1994;9227
1995;9351
1996;11314
1997;9071
1998;8763
1999;11178
2000;7628
2001;8501
2002;9387
2003;9152
2004;7340
2005;6196
