årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;435
1956;397
1957;743
1958;525
1959;555
1960;604
1961;625
1962;649
1963;728
1964;682
1965;840
1966;964
1967;447
1968;804
1969;753
1970;273
1971;482
1972;548
1973;709
1974;676
1975;748
1976;629
1977;795
1978;903
1979;971
1980;1092
1981;1333
1982;1330
1983;1551
1984;1507
1985;1620
1986;1800
1987;1487
1988;1690
1989;1845
1990;2285
1991;2567
1992;2605
1993;3154
1994;3072
1995;3236
1996;3401
1997;2780
1998;3036
1999;3066
2000;2774
2001;3183
2002;3327
2003;3747
2004;4048
2005;4095
