årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7554
1956;6260
1957;6656
1958;8389
1959;7906
1960;7559
1961;7429
1962;6407
1963;10008
1964;9206
1965;6373
1966;7913
1967;5784
1968;8509
1969;9918
1970;7233
1971;7595
1972;8865
1973;8662
1974;6852
1975;6547
1976;6028
1977;5478
1978;5123
1979;4852
1980;5219
1981;5893
1982;6392
1983;5181
1984;5087
1985;4789
1986;5136
1987;6154
1988;6191
1989;5510
1990;6171
1991;4788
1992;6150
1993;5568
1994;5411
1995;4683
1996;3538
1997;3364
1998;3622
1999;4229
2000;3748
2001;5118
2002;4440
2003;3901
2004;3726
2005;3905
