årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;614
1956;625
1957;695
1958;654
1959;704
1960;645
1961;841
1962;796
1963;1121
1964;963
1965;839
1966;931
1967;564
1968;1041
1969;1049
1970;968
1971;962
1972;999
1973;1004
1974;914
1975;859
1976;598
1977;760
1978;680
1979;831
1980;742
1981;926
1982;757
1983;667
1984;706
1985;829
1986;807
1987;580
1988;300
1989;44
1990;30
1991;28
1992;29
1993;13
1994;6
1995;8
1996;29
1997;58
1998;69
1999;117
2000;35
2001;10
2002;13
2003;26
2004;42
2005;7
