årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;495
1956;721
1957;460
1958;614
1959;1393
1960;1126
1961;1910
1962;1672
1963;1167
1964;693
1965;591
1966;677
1967;492
1968;16
1969;923
1970;445
1971;525
1972;547
1973;970
1974;500
1975;1060
1976;2145
1977;880
1978;1348
1979;1437
1980;996
1981;742
1982;859
1983;544
1984;464
1985;620
1986;606
1987;496
1988;839
1989;803
1990;602
1991;589
1992;935
1993;1426
1994;893
1995;874
1996;940
1997;601
1998;778
1999;626
2000;747
2001;748
2002;985
2003;483
2004;740
2005;570
