årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4649
1956;4411
1957;5399
1958;5912
1959;6741
1960;6348
1961;5493
1962;3751
1963;3871
1964;3379
1965;2890
1966;2954
1967;3347
1968;3707
1969;3753
1970;3330
1971;3568
1972;3264
1973;3185
1974;2694
1975;3179
1976;3196
1977;3430
1978;3127
1979;2598
1980;1501
1981;1290
1982;1046
1983;929
1984;868
1985;1017
1986;1400
1987;810
1988;765
1989;933
1990;1015
1991;759
1992;772
1993;996
1994;982
1995;944
1996;750
1997;734
1998;491
1999;533
2000;337
2001;515
2002;437
2003;442
2004;285
2005;314
