årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;92721
1956;68251
1957;88549
1958;103474
1959;120243
1960;105936
1961;113809
1962;108423
1963;118182
1964;122105
1965;130066
1966;133873
1967;146141
1968;164130
1969;154219
1970;137672
1971;137080
1972;132106
1973;144301
1974;127830
1975;149032
1976;128055
1977;132697
1978;131602
1979;129079
1980;122773
1981;129007
1982;138027
1983;140798
1984;126503
1985;133690
1986;142283
1987;121736
1988;129309
1989;137030
1990;138382
1991;128590
1992;132091
1993;123561
1994;112823
1995;117762
1996;121759
1997;108263
1998;111630
1999;121332
2000;96389
2001;116716
2002;108792
2003;119178
2004;117324
2005;114401
