årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;4721
1959;10760
1960;4870
1961;5394
1962;5289
1963;5372
1964;4336
1965;4453
1966;4089
1967;4717
1968;6106
1969;5389
1970;4218
1971;4947
1972;3849
1973;3765
1974;3229
1975;3403
1976;2549
1977;1985
1978;1943
1979;2575
1980;2636
1981;2229
1982;2447
1983;2142
1984;2308
1985;3193
1986;1973
1987;1540
1988;1658
1989;1099
1990;1938
1991;1704
1992;1354
1993;1224
1994;1145
1995;873
1996;754
1997;573
1998;645
1999;587
2000;524
2001;555
2002;517
2003;638
2004;865
2005;562
