årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1650
1956;746
1957;1036
1958;2096
1959;1201
1960;903
1961;940
1962;1184
1963;1073
1964;1451
1965;994
1966;1436
1967;1460
1968;1548
1969;1156
1970;1068
1971;983
1972;872
1973;1302
1974;861
1975;1164
1976;716
1977;639
1978;566
1979;347
1980;401
1981;559
1982;433
1983;522
1984;448
1985;289
1986;259
1987;396
1988;295
1989;379
1990;362
1991;509
1992;248
1993;289
1994;301
1995;310
1996;250
1997;238
1998;277
1999;185
2000;225
2001;225
2002;202
2003;128
2004;140
2005;138
