årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;238
1956;197
1957;135
1958;213
1959;242
1960;183
1961;194
1962;248
1963;199
1964;170
1965;166
1966;193
1967;168
1968;115
1969;106
1970;78
1971;89
1972;76
1973;128
1974;98
1975;160
1976;155
1977;217
1978;177
1979;198
1980;207
1981;221
1982;169
1983;196
1984;262
1985;303
1986;363
1987;316
1988;266
1989;285
1990;303
1991;235
1992;201
1993;432
1994;347
1995;334
1996;428
1997;255
1998;457
1999;399
2000;242
2001;252
2002;247
2003;370
2004;281
2005;407
