årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;7619
1959;6825
1960;5125
1961;6153
1962;5529
1963;5364
1964;4639
1965;6534
1966;6139
1967;6410
1968;10409
1969;6735
1970;6512
1971;7804
1972;6468
1973;7728
1974;6953
1975;8071
1976;5703
1977;5010
1978;6009
1979;5233
1980;6051
1981;7816
1982;7804
1983;8752
1984;7898
1985;5300
1986;3892
1987;3376
1988;3839
1989;5224
1990;5053
1991;5039
1992;7493
1993;4998
1994;5662
1995;5402
1996;4334
1997;4016
1998;3898
1999;5126
2000;4542
2001;3672
2002;5155
2003;3684
2004;3615
2005;3298
