årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;10266
1956;8116
1957;10531
1958;10541
1959;15058
1960;12498
1961;14037
1962;10567
1963;16637
1964;18737
1965;18666
1966;20408
1967;24240
1968;28846
1969;24593
1970;23828
1971;25763
1972;24193
1973;24869
1974;23622
1975;27892
1976;24452
1977;26399
1978;24681
1979;23734
1980;21860
1981;21880
1982;21712
1983;23329
1984;23932
1985;24741
1986;27825
1987;19671
1988;22786
1989;24537
1990;23588
1991;18599
1992;20112
1993;21321
1994;19000
1995;19669
1996;19441
1997;18080
1998;18922
1999;17652
2000;13134
2001;14909
2002;14390
2003;14841
2004;15716
2005;15226
