årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;150
1956;186
1957;154
1958;229
1959;339
1960;142
1961;173
1962;199
1963;173
1964;145
1965;147
1966;198
1967;203
1968;262
1969;217
1970;205
1971;173
1972;174
1973;220
1974;200
1975;250
1976;170
1977;135
1978;180
1979;98
1980;9
1981;2
1982;10
1983;1
1984;0
1985;3
1986;3
1987;6
1988;9
1989;13
1990;27
1991;1
1992;7
1993;18
1994;10
1995;0
1996;32
1997;14
1998;16
1999;12
2000;1
2001;1
2002;18
2003;13
2004;7
2005;6
