årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;20639
1956;8594
1957;12207
1958;15624
1959;14143
1960;10605
1961;14027
1962;12682
1963;12970
1964;13694
1965;14365
1966;13370
1967;16022
1968;10710
1969;16610
1970;14109
1971;14946
1972;17159
1973;18828
1974;13370
1975;18664
1976;13978
1977;15988
1978;17954
1979;19886
1980;21133
1981;24583
1982;25955
1983;27894
1984;24097
1985;26082
1986;29448
1987;27957
1988;30879
1989;30665
1990;29195
1991;28144
1992;28369
1993;27468
1994;30218
1995;30786
1996;30131
1997;24793
1998;26356
1999;30312
2000;21564
2001;25100
2002;25858
2003;26989
2004;25434
2005;23367
