årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;138
1956;49
1957;135
1958;170
1959;323
1960;128
1961;147
1962;179
1963;258
1964;159
1965;204
1966;279
1967;200
1968;302
1969;722
1970;341
1971;269
1972;295
1973;416
1974;300
1975;379
1976;270
1977;244
1978;373
1979;445
1980;407
1981;283
1982;268
1983;317
1984;328
1985;425
1986;353
1987;383
1988;245
1989;269
1990;279
1991;232
1992;263
1993;346
1994;202
1995;338
1996;367
1997;268
1998;334
1999;329
2000;375
2001;574
2002;521
2003;945
2004;709
2005;802
