årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7628
1956;7241
1957;8740
1958;8186
1959;7792
1960;8356
1961;7908
1962;6402
1963;6804
1964;6813
1965;6514
1966;7245
1967;7646
1968;8416
1969;7692
1970;6539
1971;6861
1972;6268
1973;6292
1974;6277
1975;6459
1976;5661
1977;5007
1978;4515
1979;3903
1980;3717
1981;3407
1982;3171
1983;3058
1984;2664
1985;2745
1986;2915
1987;2287
1988;2060
1989;1932
1990;1732
1991;1387
1992;1507
1993;1695
1994;1343
1995;1464
1996;1216
1997;1198
1998;1170
1999;1200
2000;795
2001;882
2002;853
2003;1020
2004;1090
2005;983
