årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;8219
1956;7345
1957;9024
1958;8474
1959;8914
1960;9455
1961;9957
1962;10333
1963;11575
1964;12569
1965;14428
1966;15087
1967;15938
1968;17757
1969;15049
1970;14952
1971;14092
1972;13420
1973;13234
1974;11457
1975;12000
1976;11629
1977;11007
1978;10121
1979;10942
1980;10607
1981;10796
1982;9514
1983;8331
1984;8151
1985;9026
1986;9385
1987;9443
1988;8710
1989;8587
1990;7747
1991;6903
1992;6475
1993;6102
1994;3977
1995;4957
1996;5352
1997;5494
1998;6104
1999;6261
2000;4974
2001;5581
2002;4738
2003;4901
2004;4882
2005;5195
