årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;12743
1956;8334
1957;11884
1958;9827
1959;10096
1960;9958
1961;9982
1962;10944
1963;11637
1964;11707
1965;13500
1966;13230
1967;13288
1968;14568
1969;14698
1970;13602
1971;12613
1972;12487
1973;13353
1974;12611
1975;12951
1976;12423
1977;11697
1978;11983
1979;12333
1980;10713
1981;11526
1982;11358
1983;8166
1984;7985
1985;7205
1986;7770
1987;6990
1988;6716
1989;7676
1990;7025
1991;6272
1992;5779
1993;5045
1994;3724
1995;4499
1996;5619
1997;4904
1998;5302
1999;6045
2000;4174
2001;5160
2002;4440
2003;5737
2004;4596
2005;5237
