årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2771
1956;3372
1957;2950
1958;5726
1959;5885
1960;5728
1961;6104
1962;6755
1963;7737
1964;8164
1965;9936
1966;11059
1967;10833
1968;12741
1969;12339
1970;10887
1971;9452
1972;8315
1973;11358
1974;9492
1975;10930
1976;9778
1977;8747
1978;9483
1979;9415
1980;9898
1981;8099
1982;8039
1983;7834
1984;6247
1985;6798
1986;5410
1987;5075
1988;4786
1989;5108
1990;3999
1991;3910
1992;3882
1993;2645
1994;1839
1995;1932
1996;2200
1997;1437
1998;1642
1999;1166
2000;1348
2001;1250
2002;911
2003;971
2004;1196
2005;840
