årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;13096
1956;10502
1957;14732
1958;12757
1959;15604
1960;18131
1961;18114
1962;18390
1963;19030
1964;19970
1965;20914
1966;22375
1967;25930
1968;24925
1969;24281
1970;19896
1971;18638
1972;18444
1973;19608
1974;19186
1975;22379
1976;21393
1977;23978
1978;23540
1979;21657
1980;18434
1981;19593
1982;21977
1983;25555
1984;20892
1985;24604
1986;29266
1987;24621
1988;26904
1989;30264
1990;35042
1991;34124
1992;36165
1993;33237
1994;28182
1995;28920
1996;34872
1997;33286
1998;30296
1999;34500
2000;28356
2001;40001
2002;33418
2003;38233
2004;38087
2005;39103
