årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;961
1956;1021
1957;1233
1958;1100
1959;1162
1960;1100
1961;1249
1962;1009
1963;1165
1964;1098
1965;1300
1966;1333
1967;1195
1968;1429
1969;1357
1970;1178
1971;1176
1972;1107
1973;1291
1974;1327
1975;1403
1976;1381
1977;1610
1978;1607
1979;1443
1980;1481
1981;1564
1982;1551
1983;1743
1984;1887
1985;2068
1986;2059
1987;1874
1988;1850
1989;1948
1990;2269
1991;2452
1992;2625
1993;3084
1994;3120
1995;3214
1996;3412
1997;2868
1998;3308
1999;3403
2000;2801
2001;3234
2002;3208
2003;3668
2004;3448
2005;3574
