årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2457
1956;2636
1957;3045
1958;2709
1959;3015
1960;2760
1961;2056
1962;3266
1963;2529
1964;2459
1965;4141
1966;2680
1967;3101
1968;5191
1969;5177
1970;3827
1971;3236
1972;3689
1973;4353
1974;3891
1975;2577
1976;2809
1977;2749
1978;2490
1979;2398
1980;2305
1981;2700
1982;3127
1983;3138
1984;2697
1985;2725
1986;3200
1987;3190
1988;3111
1989;2569
1990;2651
1991;2398
1992;2474
1993;2175
1994;1640
1995;1793
1996;2964
1997;1389
1998;2562
1999;2569
2000;2293
2001;2960
2002;4292
2003;3009
2004;3320
2005;3851
