årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2617
1956;2141
1957;2606
1958;2681
1959;2913
1960;2846
1961;3077
1962;3282
1963;3398
1964;3443
1965;3428
1966;3372
1967;3214
1968;3923
1969;3329
1970;3017
1971;3099
1972;2914
1973;2805
1974;2545
1975;2629
1976;2481
1977;2673
1978;2265
1979;2653
1980;2538
1981;2751
1982;2379
1983;2205
1984;2200
1985;2526
1986;2510
1987;2539
1988;2738
1989;2808
1990;2894
1991;2634
1992;3026
1993;3323
1994;2946
1995;3298
1996;3021
1997;2570
1998;3336
1999;3258
2000;2648
2001;2861
2002;2480
2003;2490
2004;2638
2005;2345
