årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;272
1956;223
1957;223
1958;406
1959;359
1960;361
1961;471
1962;485
1963;518
1964;266
1965;271
1966;220
1967;361
1968;236
1969;322
1970;330
1971;222
1972;274
1973;450
1974;199
1975;382
1976;308
1977;385
1978;543
1979;314
1980;378
1981;261
1982;285
1983;197
1984;209
1985;213
1986;302
1987;236
1988;277
1989;354
1990;270
1991;270
1992;410
1993;336
1994;285
1995;342
1996;355
1997;241
1998;258
1999;319
2000;341
2001;291
2002;342
2003;264
2004;274
2005;266
