årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;26918
1956;25791
1957;30508
1958;29374
1959;37463
1960;32001
1961;38504
1962;24783
1963;22162
1964;20420
1965;15114
1966;13306
1967;14822
1968;15084
1969;16137
1970;16267
1971;15594
1972;14200
1973;14777
1974;14084
1975;17700
1976;19374
1977;21698
1978;20129
1979;13683
1980;9286
1981;6876
1982;5748
1983;5952
1984;5879
1985;7355
1986;8221
1987;6427
1988;7295
1989;8446
1990;7783
1991;7049
1992;7608
1993;7416
1994;7033
1995;7446
1996;6773
1997;6271
1998;6437
1999;5903
2000;4841
2001;5348
2002;7596
2003;6376
2004;5292
2005;4582
