årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;320016
1956;276900
1957;348006
1958;361164
1959;435899
1960;402870
1961;511280
1962;407440
1963;457512
1964;441814
1965;433078
1966;449067
1967;497167
1968;536479
1969;515985
1970;470046
1971;463225
1972;462058
1973;503294
1974;471784
1975;513754
1976;476542
1977;475788
1978;454871
1979;463965
1980;456336
1981;463624
1982;511123
1983;494546
1984;452379
1985;507036
1986;491458
1987;455673
1988;520268
1989;534043
1990;524715
1991;483527
1992;484905
1993;462380
1994;445821
1995;491071
1996;424332
1997;388815
1998;427532
1999;461324
2000;383131
2001;421731
2002;408223
2003;433554
2004;435718
2005;415526
