årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;19039
1959;20643
1960;20242
1961;22724
1962;21854
1963;22316
1964;19529
1965;22836
1966;17035
1967;23112
1968;28038
1969;28868
1970;22376
1971;23424
1972;22198
1973;20969
1974;16523
1975;18230
1976;15919
1977;12914
1978;8261
1979;18344
1980;15890
1981;13280
1982;12946
1983;11605
1984;11520
1985;15369
1986;7875
1987;7018
1988;7262
1989;6609
1990;9323
1991;8814
1992;8386
1993;7854
1994;5832
1995;7259
1996;6698
1997;4058
1998;3974
1999;3834
2000;3982
2001;4240
2002;4089
2003;4675
2004;4316
2005;3923
