årstal;antal
1959;9049
1960;10339
1961;13374
1962;9181
1963;12259
1964;11396
1965;12193
1966;13630
1967;16642
1968;12870
1969;13001
1970;13712
1971;14030
1972;13582
1973;13424
1974;11223
1975;15158
1976;10877
1977;9491
1978;9444
1979;9008
1980;10234
1981;13194
1982;12894
1983;12123
1984;10450
1985;8808
1986;7409
1987;6713
1988;10035
1989;12761
1990;11977
1991;12879
1992;11439
1993;9410
1994;11236
1995;13968
1996;7111
1997;7372
1998;7021
1999;8382
2000;9460
2001;10936
2002;10601
2003;11681
2004;13038
2005;13113
