årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3288
1956;2683
1957;2882
1958;2955
1959;3605
1960;2571
1961;3393
1962;3955
1963;3434
1964;3190
1965;3109
1966;3636
1967;4140
1968;3593
1969;3988
1970;3835
1971;4808
1972;4108
1973;5132
1974;3348
1975;4007
1976;2548
1977;3255
1978;1721
1979;1389
1980;1428
1981;2592
1982;1828
1983;1512
1984;1221
1985;795
1986;580
1987;561
1988;903
1989;1112
1990;1058
1991;1018
1992;668
1993;654
1994;760
1995;912
1996;766
1997;617
1998;520
1999;704
2000;571
2001;619
2002;590
2003;521
2004;660
2005;643
