årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;282
1956;255
1957;263
1958;191
1959;222
1960;174
1961;241
1962;179
1963;233
1964;206
1965;215
1966;129
1967;167
1968;244
1969;188
1970;200
1971;163
1972;243
1973;326
1974;324
1975;317
1976;321
1977;293
1978;428
1979;358
1980;390
1981;356
1982;426
1983;369
1984;331
1985;378
1986;492
1987;459
1988;609
1989;764
1990;583
1991;604
1992;552
1993;733
1994;688
1995;602
1996;795
1997;427
1998;554
1999;637
2000;579
2001;517
2002;626
2003;659
2004;726
2005;594
