årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;12007
1959;23999
1960;21610
1961;29690
1962;30954
1963;32498
1964;29266
1965;32198
1966;30063
1967;30768
1968;44704
1969;28801
1970;27567
1971;31307
1972;34929
1973;40192
1974;41740
1975;48062
1976;34565
1977;33371
1978;27565
1979;44783
1980;42627
1981;43673
1982;63204
1983;45557
1984;36836
1985;33736
1986;36257
1987;39617
1988;47781
1989;55119
1990;48383
1991;36752
1992;44989
1993;30855
1994;32653
1995;34915
1996;28628
1997;32866
1998;20883
1999;30859
2000;25130
2001;28978
2002;25349
2003;26163
2004;21388
2005;19640
