årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;80897
1956;75700
1957;101154
1958;89626
1959;112492
1960;111022
1961;149842
1962;92001
1963;139176
1964;138021
1965;116948
1966;134485
1967;153848
1968;161510
1969;148528
1970;157073
1971;148217
1972;141534
1973;153809
1974;160022
1975;163477
1976;156844
1977;162166
1978;154129
1979;147693
1980;150818
1981;134246
1982;141938
1983;146485
1984;139228
1985;167333
1986;165844
1987;138129
1988;171458
1989;175215
1990;179185
1991;153090
1992;150441
1993;157712
1994;144433
1995;149053
1996;128849
1997;115150
1998;138077
1999;139051
2000;124875
2001;131751
2002;129984
2003;137118
2004;142552
2005;133531
