årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;440
1956;285
1957;319
1958;589
1959;482
1960;426
1961;645
1962;541
1963;344
1964;363
1965;337
1966;486
1967;360
1968;449
1969;466
1970;371
1971;482
1972;470
1973;735
1974;632
1975;687
1976;824
1977;571
1978;521
1979;457
1980;86
1981;11
1982;12
1983;8
1984;34
1985;18
1986;13
1987;12
1988;41
1989;49
1990;34
1991;44
1992;26
1993;25
1994;35
1995;9
1996;46
1997;45
1998;12
1999;20
2000;8
2001;92
2002;12
2003;5
2004;8
2005;28
