årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;778
1956;562
1957;598
1958;851
1959;948
1960;1083
1961;1121
1962;1145
1963;1849
1964;1265
1965;934
1966;1479
1967;1236
1968;1486
1969;2564
1970;1521
1971;1195
1972;1050
1973;909
1974;962
1975;1511
1976;1404
1977;1247
1978;1394
1979;1791
1980;1358
1981;1276
1982;1831
1983;1779
1984;1640
1985;1932
1986;1488
1987;1757
1988;1307
1989;1509
1990;1325
1991;1406
1992;1423
1993;1161
1994;1025
1995;941
1996;831
1997;916
1998;902
1999;1145
2000;1232
2001;1219
2002;1414
2003;1993
2004;2041
2005;2738
