årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;45370
1956;49533
1957;58671
1958;53476
1959;60830
1960;56693
1961;64436
1962;47811
1963;48149
1964;44672
1965;43043
1966;43268
1967;47431
1968;43719
1969;39802
1970;39438
1971;39345
1972;38385
1973;39122
1974;39569
1975;39902
1976;38294
1977;33525
1978;30107
1979;25369
1980;28274
1981;28556
1982;30162
1983;31314
1984;26148
1985;27277
1986;27923
1987;20681
1988;22755
1989;18962
1990;17335
1991;15007
1992;16343
1993;15834
1994;13972
1995;14757
1996;12962
1997;10135
1998;11219
1999;11112
2000;10425
2001;9693
2002;9248
2003;9697
2004;9111
2005;7978
